,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Rx_Tx,1_2,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,2_2,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_18,2_19,3_2,3_11,3_12,3_13,3_14,3_15,3_16,3_17,3_18,3_19,4_2,4_11,4_12,4_13,4_14,4_15,4_16,4_17,4_18,4_19,5_2,5_11,5_12,5_13,5_14,5_15,5_16,5_17,5_18,5_19,6_2,6_11,6_12,6_13,6_14,6_15,6_16,6_17,6_18,6_19,7_2,7_11,7_12,7_13,7_14,7_15,7_16,7_17,7_18,7_19,8_2,8_11,8_12,8_13,8_14,8_15,8_16,8_17,8_18,8_19,9_2,9_11,9_12,9_13,9_14,9_15,9_16,9_17,9_18,9_19,10_2,10_11,10_12,10_13,10_14,10_15,10_16,10_17,10_18,10_19
state_1_rssi(dBm),-68.04166666666667,-65.69230769230771,-67.46296296296296,-71.66197183098592,-68.7,-68.0,-67.65,-70.35897435897436,-67.2361111111111,-66.55714285714286,-62.208,-68.76470588235293,-69.30666666666667,-62.19047619047619,-60.13636363636363,-59.56521739130435,-58.85,-58.47368421052632,-67.29885057471265,-66.0945945945946,-58.69477911646587,-72.8888888888889,-63.68,-58.9,-57.85,-56.40909090909091,-55.875,-55.66666666666666,-56.61904761904761,-63.03703703703704,-59.34728033472803,-72.46,-63.0625,-58.45833333333334,-57.19047619047619,-55.875,-55.58333333333334,-54.94736842105264,-59.45454545454545,-68.7948717948718,-58.53080568720379,-71.52830188679245,-65.8611111111111,-57.68,-56.07142857142857,-54.88888888888889,-54.47619047619048,-53.842105263157904,-66.8125,-66.47826086956522,-58.026315789473685,-69.28813559322033,-69.01315789473685,-57.85714285714285,-56.615384615384606,-54.8,-54.85714285714285,-54.14285714285714,-67.42666666666666,-65.55696202531645,-57.977777777777774,-67.39285714285714,-66.89285714285714,-60.875,-56.05263157894736,-54.78571428571429,-54.92307692307693,-69.25,-65.57894736842105,-64.325,-59.49411764705882,-64.77551020408163,-65.63513513513513,-67.27536231884058,-57.72222222222222,-56.0952380952381,-55.73684210526316,-66.43835616438356,-62.973333333333336,-63.02898550724638,-62.526748971193406,-63.80392156862745,-66.08571428571429,-67.95588235294117,-60.2,-59.0,-59.62962962962962,-66.31081081081079,-63.65217391304348,-63.04347826086956,-68.09239130434783,-64.0,-65.83333333333333,-70.5925925925926,-69.10526315789474,-68.0,-68.07142857142857,-69.4054054054054,-66.15068493150686,-65.77631578947367
state_2_rssi(dBm),-62.77604166666666,-67.12162162162164,-63.75862068965517,-58.125,-59.0,-69.21333333333334,-67.09375,-65.0,-64.62337662337664,-65.69841269841271,-62.0887573964497,-67.72340425531915,-57.22222222222222,-55.875,-55.88235294117647,-56.526315789473685,-62.4,-67.8735632183908,-66.69767441860465,-69.53521126760563,-58.31081081081082,-59.235294117647065,-56.72727272727273,-55.79166666666666,-55.57142857142857,-56.1,-56.8,-57.8,-59.6,-67.7,-62.671328671328666,-68.47619047619048,-58.055555555555564,-56.6,-56.45454545454545,-56.764705882352935,-63.04347826086956,-69.3012048192771,-68.2840909090909,-70.3409090909091,-62.86702127659574,-69.37333333333333,-57.45,-56.25,-57.0,-64.96774193548387,-69.76543209876543,-68.015625,-66.51807228915662,-68.35526315789474,-63.35,-67.70454545454545,-63.43478260869565,-58.125,-57.91666666666666,-70.04545454545455,-68.48529411764707,-66.59782608695652,-65.47252747252746,-67.04054054054055,-63.53846153846154,-66.67073170731706,-67.72058823529412,-58.7,-64.5,-67.85294117647061,-66.57142857142857,-65.39240506329114,-64.47222222222223,-64.8103448275862,-65.16129032258064,-66.08219178082193,-68.30263157894737,-64.0,-70.12195121951221,-67.45161290322581,-66.2125,-64.67123287671232,-62.94666666666666,-62.524590163934434,-67.64957264957265,-65.24137931034483,-69.57142857142857,-71.4,-71.67567567567569,-68.78378378378379,-67.01470588235293,-64.671875,-62.16071428571429,-62.206896551724135,-64.94736842105263,-66.15492957746478,-68.12345679012347,-62.13333333333333,-70.19230769230771,-67.38571428571429,-66.37837837837836,-64.7948717948718,-63.45588235294117,-62.80357142857143
state_3_rssi(dBm),-62.137724550898206,-63.85,-57.93333333333333,-58.0952380952381,-67.2051282051282,-66.63793103448276,-65.02666666666667,-65.42424242424242,-66.57377049180327,-68.69117647058823,-60.41935483870968,-59.11764705882353,-57.5625,-57.81818181818182,-58.1875,-58.77777777777778,-59.79166666666666,-60.6,-65.7,-69.45454545454545,-62.50877192982456,-67.36363636363636,-58.88235294117647,-68.41176470588235,-66.54237288135593,-64.17910447761193,-64.9298245614035,-63.935483870967744,-64.875,-66.45762711864407,-63.31845238095239,-67.0701754385965,-59.81818181818182,-67.43939393939394,-65.19402985074628,-63.88888888888889,-63.46969696969697,-63.14754098360656,-62.849056603773576,-65.56140350877193,-63.22666666666667,-66.13793103448276,-60.88235294117647,-66.7741935483871,-64.31343283582089,-63.0,-62.26666666666666,-61.77777777777778,-62.234375,-61.22916666666666,-64.96402877697842,-66.69230769230771,-64.3888888888889,-67.11267605633803,-64.8225806451613,-63.38095238095239,-62.8135593220339,-62.484375,-61.80769230769231,-59.71794871794872,-66.63492063492063,-67.04838709677419,-67.64285714285714,-67.17142857142858,-65.24657534246576,-63.43835616438356,-62.969230769230776,-63.07017543859649,-58.55813953488372,-59.04444444444446,-66.40845070422536,-66.80769230769229,-70.45833333333333,-67.3888888888889,-65.17460317460318,-62.764705882352935,-60.384615384615394,-58.64583333333334,-57.714285714285715,-58.53846153846154,-64.52397260273972,-66.29230769230769,-63.764705882352935,-66.51351351351353,-64.4090909090909,-62.5,-61.85,-61.1639344262295,-62.14492753623188,-59.47826086956522,-62.81,-67.37704918032786,-59.16666666666666,-66.7638888888889,-64.3030303030303,-63.04477611940298,-62.61904761904761,-62.403225806451616,-62.952380952380956,-64.08955223880596
state_4_rssi(dBm),-60.714285714285715,-57.8,-57.0,-58.0,-59.75,-59.058823529411775,-62.1,-64.5,-69.0,-63.5,-61.04864864864865,-58.111111111111114,-57.25,-67.0,-65.55555555555556,-63.89655172413793,-64.05555555555556,-64.39622641509433,-64.94339622641509,-65.31481481481481,-62.29545454545455,-66.8,-67.42857142857143,-63.018867924528294,-61.38775510204081,-60.25,-60.32692307692307,-60.7457627118644,-58.523809523809526,-61.29090909090909,-64.69565217391305,-69.22222222222223,-68.02083333333333,-62.755555555555546,-60.480769230769226,-59.849056603773576,-58.95454545454545,-60.519230769230774,-57.488372093023266,-61.10909090909091,-66.53370786516854,-68.33333333333333,-66.60714285714286,-61.21052631578947,-60.018518518518526,-58.511111111111106,-58.480769230769226,-58.949152542372886,-56.224489795918366,-60.540983606557376,-68.82945736434108,-69.10714285714286,-67.63265306122449,-61.8695652173913,-60.68888888888889,-60.224489795918366,-58.84,-56.67441860465117,-56.29268292682927,-58.24390243902439,-60.230769230769226,-68.7948717948718,-66.8809523809524,-60.0,-58.860465116279066,-57.35714285714285,-56.71794871794872,-56.131578947368425,-55.92307692307693,-57.76744186046512,-67.54301075268818,-68.51923076923077,-66.88235294117646,-61.80392156862745,-60.224489795918366,-59.76190476190475,-59.450980392156865,-57.65217391304348,-56.33333333333334,-61.1,-62.815384615384616,-69.58695652173913,-67.25581395348837,-63.25,-61.39622641509435,-59.78723404255321,-60.46808510638298,-60.523809523809526,-58.55263157894736,-61.45614035087719,-61.872448979591844,-58.3125,-57.90909090909091,-66.36363636363636,-64.66,-63.45833333333334,-63.7,-63.6,-64.0,-65.07843137254902
state_5_rssi(dBm),-64.8046875,-69.53846153846153,-63.653846153846146,-62.05633802816902,-61.2686567164179,-61.125,-60.9672131147541,-61.56666666666667,-63.720588235294116,-66.59701492537313,-65.61946902654867,-65.27777777777777,-59.72222222222222,-58.78082191780822,-58.12307692307692,-57.444444444444436,-58.911764705882355,-59.0,-59.720588235294116,-63.18666666666667,-67.06611570247934,-64.27868852459017,-59.13846153846154,-57.048387096774185,-57.13432835820896,-56.95588235294117,-56.17460317460318,-54.5,-56.15,-62.66666666666666,-68.84210526315789,-64.96825396825396,-59.375,-59.79746835443038,-58.485714285714295,-55.622950819672134,-54.379310344827594,-54.526315789473685,-55.877192982456144,-62.34782608695652,-59.88235294117647,-63.1639344262295,-56.96825396825397,-54.98412698412698,-54.230769230769226,-53.49230769230769,-53.8,-54.07936507936508,-55.280701754385966,-59.24137931034482,-59.15,-63.92727272727273,-57.612903225806456,-55.49180327868853,-54.932203389830505,-54.35,-54.57142857142857,-54.82142857142857,-56.125,-59.932203389830505,-67.17391304347827,-65.03225806451613,-59.295081967213115,-55.7037037037037,-55.04,-54.38,-54.615384615384606,-54.9433962264151,-56.26785714285714,-60.375,-66.7439024390244,-66.08620689655173,-60.5,-59.77586206896552,-59.97014925373134,-58.96875,-59.661290322580655,-57.346153846153854,-58.518518518518526,-65.375,-66.05147058823529,-69.56451612903226,-64.734375,-63.693548387096776,-63.7313432835821,-63.73846153846154,-64.26086956521739,-64.41666666666667,-66.43055555555556,-69.11864406779661,-64.85245901639344,-60.83333333333334,-60.75,-63.0,-64.05,-66.5,-68.30769230769229,-71.0,-70.6,-65.14285714285714
