,state,ap_ss_ed813-ThinkPad-X220_Signal_Strength,ap_ss_ed813-X450VC_Signal_Strength
0,1_AP_State,97.4,75.6
1,2_AP_State,89.0,81.2
2,3_AP_State,82.0,70.8
3,4_AP_State,99.4,73.2
4,5_AP_State,94.66666666666669,72.06666666666666
