,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Rx_Tx,1_2,1_7,1_8,1_9,1_18,2_2,2_8,2_9,2_18,3_2,4_2,5_2,6_2,6_11,7_2,7_11,7_12,8_2,8_11,8_12,8_13,9_2,9_7,9_11,9_12,9_13,9_18,10_2,10_12,10_13,10_18
state_1_rssi(dBm),-70.06451612903226,-68.61538461538461,-70.07142857142857,-63.0,-72.11290322580646,-70.43243243243244,-66.57377049180327,-67.49230769230769,-72.0,-70.34375,-61.42857142857143,-60.225806451612904,-61.70212765957447,-72.8,-61.42372881355932,-71.8913043478261,-72.13636363636364,-61.29411764705882,-69.08510638297872,-69.72916666666667,-71.96,-63.41666666666666,-59.0,-67.87179487179488,-68.47727272727273,-70.85714285714286,-72.05,-66.71428571428571,-67.93617021276596,-70.32608695652173,-71.75
state_2_rssi(dBm),-68.18805970149253,-68.0,-68.81818181818181,-70.76923076923076,-68.69444444444444,-66.33589743589744,-64.42105263157895,-68.0909090909091,-70.52941176470588,-65.7607843137255,-65.8360655737705,-64.46166394779772,-65.3094890510949,-69.52380952380952,-65.81063122923588,-68.03157894736842,-68.84615384615384,-66.07779171894605,-65.02352941176471,-65.9367088607595,-69.26136363636364,-67.54084967320262,-68.88235294117646,-64.14117647058822,-65.125,-68.57971014492753,-67.93877551020408,-65.71662763466043,-64.74193548387096,-68.2,-67.5179856115108
state_3_rssi(dBm),-63.05106888361045,-62.83333333333334,-68.93103448275862,-67.35294117647061,-65.5,-62.906398104265406,-68.03846153846153,-66.61764705882354,-70.33333333333333,-61.69293924466338,-64.65564424173319,-64.61485714285715,-65.23536299765809,-65.5340909090909,-66.29364005412721,-63.51351351351353,-65.35135135135134,-65.90348525469169,-61.50980392156863,-63.70588235294117,-68.97872340425532,-65.2051282051282,-69.61538461538461,-61.27777777777778,-63.39622641509435,-68.6896551724138,-62.44680851063829,-63.36268068331143,-63.95454545454545,-69.33333333333333,-63.17857142857143
state_4_rssi(dBm),-61.881230116648986,-66.0,-64.625,-60.12903225806453,-61.8,-62.00132802124834,-65.91891891891892,-61.7,-70.0,-64.64039955604883,-65.96438356164384,-67.37688442211055,-61.06956521739131,-59.21212121212121,-63.07258064516129,-58.81632653061224,-62.7,-63.605449041372346,-57.89830508474577,-61.36363636363637,-67.75409836065573,-61.658823529411755,-68.1842105263158,-58.544303797468345,-62.10144927536232,-68.42105263157895,-55.5,-60.85202312138728,-64.28181818181818,-70.07692307692308,-57.63478260869565
state_5_rssi(dBm),-65.02209131075111,-71.19354838709677,-66.3859649122807,-62.8918918918919,-69.39285714285714,-64.93379310344828,-67.65060240963855,-63.805555555555564,-61.16470588235293,-66.09539473684211,-66.32848232848232,-59.21230769230769,-56.50666666666667,-61.95283018867924,-59.867403314917134,-60.98823529411764,-63.77922077922078,-63.72050561797754,-61.39473684210525,-63.671875,-58.46753246753247,-64.11174785100286,-71.78571428571429,-63.7375,-65.3896103896104,-60.151898734177216,-54.492957746478865,-63.94319682959049,-68.53658536585365,-63.82758620689656,-57.984375
state_6_rssi(dBm),-65.61481481481482,-72.0,-70.10144927536231,-67.85185185185185,-59.914285714285704,-67.30114942528736,-71.67307692307692,-69.75,-55.0,-55.504,-53.9360465116279,-53.658823529411755,-54.462686567164184,-59.56962025316456,-62.21119592875318,-60.0952380952381,-55.405405405405396,-65.42034548944338,-63.21739130434783,-57.779411764705884,-55.90769230769231,-66.3531598513011,-72.46153846153847,-69.19672131147541,-63.620689655172406,-62.12962962962962,-62.9344262295082,-67.53171641791045,-70.0,-68.38983050847457,-69.08474576271186
state_7_rssi(dBm),-69.48753462603878,-71.81081081081079,-70.87142857142857,-70.07317073170732,-60.05405405405406,-67.46113989637306,-71.45454545454545,-71.77192982456141,-58.717171717171716,-55.78947368421053,-54.84967320261438,-55.41666666666666,-56.778481012658226,-58.65591397849462,-60.248175182481745,-59.3206106870229,-57.14393939393939,-68.96894409937889,-63.54347826086956,-60.41052631578948,-60.2183908045977,-69.79545454545455,-72.02272727272727,-67.36619718309859,-64.44285714285714,-64.04109589041096,-69.05714285714286,-69.02511415525115,-59.48648648648647,-58.65625,-64.01492537313433
